product_name,mrp_rupees,selling_price_rupees,discount_percent,available_quantity,weight_gms,is_out_of_stock,sku_rows,category_count,categories
Top Ramen  Noodles Curry Veg Pouch,20.0,20.0,0,1,70,False,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Top Ramen Chicken Noodles,60.0,54.0,10,1,280,False,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Top Ramen Masala,91.0,82.0,9,0,560,True,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
"Top Ramen Noodles, Atta",80.0,80.0,0,1,280,False,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Weikfield Tomato Salsa Instant Pasta,25.0,25.0,0,1,77,False,5,5,"Chocolates & Candies, Cooking Essentials, Ice Cream & Desserts, Munchies, Packaged Food"
Yoga Bar Peanut Butter Dark Chocolate Jar,249.0,249.0,0,4,400,False,5,5,"Beverages, Chocolates & Candies, Dairy, Bread & Batter, Ice Cream & Desserts, Packaged Food"
Yogabar 100% Pure Peanut Butter Creamy & Yummy Unsweetened,229.0,206.0,10,6,400,False,5,5,"Beverages, Chocolates & Candies, Dairy, Bread & Batter, Ice Cream & Desserts, Packaged Food"
Amul Fresh Cream,63.0,63.0,0,0,250,True,4,4,"Beverages, Cooking Essentials, Dairy, Bread & Batter, Munchies"
Amul Fresh Cream,197.0,191.0,3,3,1000,False,4,4,"Beverages, Cooking Essentials, Dairy, Bread & Batter, Munchies"
Amul Mithai Mate Condensed Sweetened Milk,56.0,54.0,3,4,200,False,4,4,"Beverages, Cooking Essentials, Dairy, Bread & Batter, Munchies"
Amulya Dairy Whitener,380.0,372.0,2,4,1000,False,4,4,"Beverages, Cooking Essentials, Dairy, Bread & Batter, Munchies"
Betty Crocker Complete Pancake Mix Original,110.0,105.0,4,6,250,False,4,4,"Beverages, Cooking Essentials, Dairy, Bread & Batter, Munchies"
D'lecta Dairy Cream,54.0,51.0,5,6,200,False,4,4,"Beverages, Cooking Essentials, Dairy, Bread & Batter, Munchies"
Dlicia Whip Topping Bottle,235.0,171.0,27,5,1000,False,4,4,"Beverages, Cooking Essentials, Dairy, Bread & Batter, Munchies"
Godrej Yummiez Chicken Lucknowi Seekh Kebab,260.0,234.0,10,4,400,False,4,4,"Chocolates & Candies, Ice Cream & Desserts, Meats, Fish & Eggs, Packaged Food"
Nestle Everyday Dairy Whitener,210.0,210.0,0,4,400,False,4,4,"Beverages, Cooking Essentials, Dairy, Bread & Batter, Munchies"
Pantai Coconut Cream,150.0,143.0,4,4,400,False,4,4,"Beverages, Cooking Essentials, Dairy, Bread & Batter, Munchies"
Pantai Coconut Milk,150.0,150.0,0,4,400,False,4,4,"Beverages, Cooking Essentials, Dairy, Bread & Batter, Munchies"
Pillsbury Choco Chip Pancake Mix,99.0,94.0,5,6,165,False,4,4,"Beverages, Cooking Essentials, Dairy, Bread & Batter, Munchies"
Safal Frozen - Mixed Vegetables,110.0,105.0,4,2,1000,False,4,4,"Chocolates & Candies, Fruits & Vegetables, Ice Cream & Desserts, Packaged Food"
Safal Frozen - Sweet Corn,160.0,152.0,5,0,1000,True,4,4,"Chocolates & Candies, Fruits & Vegetables, Ice Cream & Desserts, Packaged Food"
Safal Frozen Corn,41.0,39.0,4,0,200,True,4,4,"Chocolates & Candies, Fruits & Vegetables, Ice Cream & Desserts, Packaged Food"
Safal Frozen Mixed Vegetables,60.0,57.0,5,0,500,True,4,4,"Chocolates & Candies, Fruits & Vegetables, Ice Cream & Desserts, Packaged Food"
Yummiez Chicken Breakfast Sausages,150.0,150.0,0,3,250,False,4,4,"Chocolates & Candies, Ice Cream & Desserts, Meats, Fish & Eggs, Packaged Food"
Aashirvaad Instant Meals - Khatta Meetha Pohaa With Millets,55.0,38.0,30,5,80,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Aashirvaad Suji Halwa With Jaggery,55.0,38.0,30,6,80,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Aashirvaad Suji Halwa With Jaggery,75.0,75.0,0,6,70,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Amul Happy Treats French Fries,68.0,65.0,4,1,425,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
Amul Spray Infant Milk Food,197.0,193.0,2,6,500,False,3,3,"Chocolates & Candies, Ice Cream & Desserts, Packaged Food"
