priority_rank,sku_id,category,product_name,mrp_rupees,selling_price_rupees,discount_percent,available_quantity,weight_gms,is_out_of_stock,stockout_rate_pct,available_inventory_value_rupees,priority_score
113,693,"Cooking Essentials","24 Mantra Organic Whole Wheat Atta",64.0,59.0,7,0,1000,1,12.45,0.0,55
114,2171,Munchies,"24 Mantra Organic Whole Wheat Atta",64.0,59.0,7,0,1000,1,12.45,0.0,55
115,16,Beverages,"Amul Fresh Cream",63.0,63.0,0,0,250,1,21.71,0.0,55
116,1194,"Dairy, Bread & Batter","Amul Fresh Cream",63.0,63.0,0,0,250,1,21.71,0.0,55
117,564,"Chocolates & Candies","Safal Frozen Mixed Vegetables",60.0,57.0,5,0,500,1,11.6,0.0,55
118,911,"Cooking Essentials","Madhur Sugar",60.0,56.0,6,0,1000,1,12.45,0.0,55
119,1032,"Cooking Essentials","Popular Essentials Sabudana",60.0,54.0,10,0,500,1,12.45,0.0,55
120,1385,"Fruits & Vegetables","Safal Frozen Mixed Vegetables",60.0,57.0,5,0,500,1,6.45,0.0,55
121,1979,"Ice Cream & Desserts","Safal Frozen Mixed Vegetables",60.0,57.0,5,0,500,1,11.6,0.0,55
122,2389,Munchies,"Madhur Sugar",60.0,56.0,6,0,1000,1,12.45,0.0,55
123,2510,Munchies,"Popular Essentials Sabudana",60.0,54.0,10,0,500,1,12.45,0.0,55
124,3288,"Packaged Food","Safal Frozen Mixed Vegetables",60.0,57.0,5,0,500,1,11.6,0.0,55
125,962,"Cooking Essentials","Popular Essentials Black Brown Chana (Un-Polished)",55.0,50.0,9,0,500,1,12.45,0.0,55
126,2440,Munchies,"Popular Essentials Black Brown Chana (Un-Polished)",55.0,50.0,9,0,500,1,12.45,0.0,55
127,161,Biscuits,"Britannia Milk Bikis Cream Biscuit",45.0,45.0,0,0,200,1,28.57,0.0,55
128,190,Biscuits,"Britannia Vita Marie Gold Biscuit",45.0,45.0,0,0,300,1,28.57,0.0,55
129,1142,"Cooking Essentials","Tata Sampann Poha",44.0,41.0,6,0,500,1,12.45,0.0,55
130,2620,Munchies,"Tata Sampann Poha",44.0,41.0,6,0,500,1,12.45,0.0,55
131,113,Beverages,"The Bake Shop Whole Wheat Bread",40.0,40.0,0,0,400,1,21.71,0.0,55
132,114,Beverages,"The Bake Shop Whole Wheat Ladi Pav",40.0,40.0,0,0,200,1,21.71,0.0,55
133,235,Biscuits,"Patanjali Atta Doodh Rusk",40.0,40.0,0,0,300,1,28.57,0.0,55
134,1291,"Dairy, Bread & Batter","The Bake Shop Whole Wheat Bread",40.0,40.0,0,0,400,1,21.71,0.0,55
135,1292,"Dairy, Bread & Batter","The Bake Shop Whole Wheat Ladi Pav",40.0,40.0,0,0,200,1,21.71,0.0,55
136,1103,"Cooking Essentials","Satyam Thin Poha Patla",38.0,35.0,7,0,500,1,12.45,0.0,55
137,2581,Munchies,"Satyam Thin Poha Patla",38.0,35.0,7,0,500,1,12.45,0.0,55
138,43,Beverages,"Britannia Cheese Garlic Bread",35.0,35.0,0,0,300,1,21.71,0.0,55
139,142,Biscuits,"Britannia Bourbon Chocolate Cream Biscuits",35.0,34.0,2,0,150,1,28.57,0.0,55
140,165,Biscuits,"Britannia Nutri Choice Cracker Sugar Free Biscuit",35.0,35.0,0,0,300,1,28.57,0.0,55
141,224,Biscuits,"Parle Fab! Jam-In Cream Filled",35.0,34.0,2,0,150,1,28.57,0.0,55
142,237,Biscuits,"Sunfeast Dark Fantasy Bourbon Bliss",35.0,35.0,0,0,150,1,28.57,0.0,55
143,1098,"Cooking Essentials","Satyam Poha Jada",35.0,32.0,8,0,500,1,12.45,0.0,55
144,1221,"Dairy, Bread & Batter","Britannia Cheese Garlic Bread",35.0,35.0,0,0,300,1,21.71,0.0,55
145,2576,Munchies,"Satyam Poha Jada",35.0,32.0,8,0,500,1,12.45,0.0,55
146,39,Beverages,"Britannia Atta Kulcha",30.0,30.0,0,0,250,1,21.71,0.0,55
147,42,Beverages,"Britannia Burger Bun with Sesame Seed",30.0,30.0,0,0,200,1,21.71,0.0,55
148,111,Beverages,"The Bake Shop Pizza Base Whole Wheat",30.0,30.0,0,0,150,1,21.71,0.0,55
149,159,Biscuits,"Britannia Marie Gold Biscuits Packet",30.0,30.0,0,0,250,1,28.57,0.0,55
150,195,Biscuits,"Cadbury Oreo Creme Biscuit - Vanilla, Original 120 g",30.0,29.0,3,0,120,1,28.57,0.0,55
151,197,Biscuits,"Cadbury Oreo Strawberry Bicuits",30.0,29.0,3,0,120,1,28.57,0.0,55
152,1217,"Dairy, Bread & Batter","Britannia Atta Kulcha",30.0,30.0,0,0,250,1,21.71,0.0,55
153,1220,"Dairy, Bread & Batter","Britannia Burger Bun with Sesame Seed",30.0,30.0,0,0,200,1,21.71,0.0,55
154,1289,"Dairy, Bread & Batter","The Bake Shop Pizza Base Whole Wheat",30.0,30.0,0,0,150,1,21.71,0.0,55
155,158,Biscuits,"Britannia Marie Gold Biscuit",28.0,28.0,0,0,200,1,28.57,0.0,55
156,19,Beverages,"Amul Lactose Free Milk",25.0,24.0,4,0,250,1,21.71,0.0,55
157,143,Biscuits,"Britannia Classic Little Hearts",25.0,25.0,0,0,75,1,28.57,0.0,55
158,163,Biscuits,"Britannia Milk Bikis Milky Sandwich",25.0,25.0,0,0,120,1,28.57,0.0,55
159,164,Biscuits,"Britannia Nice Time Biscuit",25.0,25.0,0,0,150,1,28.57,0.0,55
160,167,Biscuits,"Britannia Nutri Choice Digestive Biscuits Packet",25.0,25.0,0,0,100,1,28.57,0.0,55
161,188,Biscuits,"Britannia Treat Jimjam Cream Biscuits",25.0,25.0,0,0,100,1,28.57,0.0,55
162,1197,"Dairy, Bread & Batter","Amul Lactose Free Milk",25.0,24.0,4,0,250,1,21.71,0.0,55
163,703,"Cooking Essentials","Aashirvaad Iodised Salt",22.0,19.0,13,0,1000,1,12.45,0.0,55
